path,speaker,text
MDSC/ASR-TTS/all15/DF0004/0162-变温室温度设定零下六度档.wav,DF0004_all15,变温室温度设定零下六度档
MDSC/ASR-TTS/all15/DF0004/0265-给我声音稍微调大一点.wav,DF0004_all15,给我声音稍微调大一点
MDSC/ASR-TTS/all15/DF0004/0271-给我声音稍微增大一点.wav,DF0004_all15,给我声音稍微增大一点
MDSC/ASR-TTS/all15/DF0004/0290-帮我音量稍微增大一点.wav,DF0004_all15,帮我音量稍微增大一点
MDSC/ASR-TTS/all15/DF0004/0348-你好米雅变温设定五度档.wav,DF0004_all15,你好米雅变温设定五度档
MDSC/ASR-TTS/all15/DF0015/0227-给我声音稍微调小一点.wav,DF0015_all15,给我声音稍微调小一点
MDSC/ASR-TTS/all15/DF0015/0248-给我声音稍微减弱一点.wav,DF0015_all15,给我声音稍微减弱一点
MDSC/ASR-TTS/all15/DF0015/0271-给我声音稍微增大一点.wav,DF0015_all15,给我声音稍微增大一点
MDSC/ASR-TTS/all15/DF0015/0344-你好米雅给我电视关机.wav,DF0015_all15,你好米雅给我电视关机
MDSC/ASR-TTS/all15/DF0015/0367-你好米雅关闭客厅的灯.wav,DF0015_all15,你好米雅关闭客厅的灯
MDSC/ASR-TTS/all15/DF0016/0146-变温室温度设为负三摄氏度.wav,DF0016_all15,变温室温度设为负三摄氏度
MDSC/ASR-TTS/all15/DF0016/0170-变温温度调至五摄氏度.wav,DF0016_all15,变温温度调至五摄氏度
MDSC/ASR-TTS/all15/DF0016/0344-你好米雅给我电视关机.wav,DF0016_all15,你好米雅给我电视关机
MDSC/ASR-TTS/all15/DF0016/0348-你好米雅变温设定五度档.wav,DF0016_all15,你好米雅变温设定五度档
MDSC/ASR-TTS/all15/DF0016/0360-你好米雅关闭左右摇动.wav,DF0016_all15,你好米雅关闭左右摇动
MDSC/ASR-TTS/all15/DM0005/0162-变温室温度设定零下六度档.wav,DM0005_all15,变温室温度设定零下六度档
MDSC/ASR-TTS/all15/DM0005/0227-给我声音稍微调小一点.wav,DM0005_all15,给我声音稍微调小一点
MDSC/ASR-TTS/all15/DM0005/0248-给我声音稍微减弱一点.wav,DM0005_all15,给我声音稍微减弱一点
MDSC/ASR-TTS/all15/DM0005/0290-帮我音量稍微增大一点.wav,DM0005_all15,帮我音量稍微增大一点
MDSC/ASR-TTS/all15/DM0005/0343-你好米雅向右前方走两步.wav,DM0005_all15,你好米雅向右前方走两步
MDSC/ASR-TTS/all15/DM0012/0115-空调温度降低为十六度.wav,DM0012_all15,空调温度降低为十六度
MDSC/ASR-TTS/all15/DM0012/0131-变温室温度设为负九度档.wav,DM0012_all15,变温室温度设为负九度档
MDSC/ASR-TTS/all15/DM0012/0147-请你调空调温度到二十八度.wav,DM0012_all15,请你调空调温度到二十八度
MDSC/ASR-TTS/all15/DM0012/0148-空调温度调高到十九度.wav,DM0012_all15,空调温度调高到十九度
MDSC/ASR-TTS/all15/DM0012/0267-帮我音量稍微减弱一点.wav,DM0012_all15,帮我音量稍微减弱一点
MDSC/ASR-TTS/all15/DM0019/0170-变温温度调至五摄氏度.wav,DM0019_all15,变温温度调至五摄氏度
MDSC/ASR-TTS/all15/DM0019/0267-帮我音量稍微减弱一点.wav,DM0019_all15,帮我音量稍微减弱一点
MDSC/ASR-TTS/all15/DM0019/0344-你好米雅给我电视关机.wav,DM0019_all15,你好米雅给我电视关机
MDSC/ASR-TTS/all15/DM0019/0360-你好米雅关闭左右摇动.wav,DM0019_all15,你好米雅关闭左右摇动
MDSC/ASR-TTS/all15/DM0019/0367-你好米雅关闭客厅的灯.wav,DM0019_all15,你好米雅关闭客厅的灯
MDSC/ASR-TTS/all4/DF0004/0063-拉开窗帘.wav,DF0004_all4,拉开窗帘
MDSC/ASR-TTS/all4/DF0004/0067-关闭窗帘.wav,DF0004_all4,关闭窗帘
MDSC/ASR-TTS/all4/DF0004/0074-全部关闭.wav,DF0004_all4,全部关闭
MDSC/ASR-TTS/all4/DF0004/0103-开启省电.wav,DF0004_all4,开启省电
MDSC/ASR-TTS/all4/DF0004/0282-减小音量.wav,DF0004_all4,减小音量
MDSC/ASR-TTS/all4/DF0015/0064-拉开窗帘.wav,DF0015_all4,拉开窗帘
MDSC/ASR-TTS/all4/DF0015/0067-关闭窗帘.wav,DF0015_all4,关闭窗帘
MDSC/ASR-TTS/all4/DF0015/0090-帮忙暂停.wav,DF0015_all4,帮忙暂停
MDSC/ASR-TTS/all4/DF0015/0098-降低音量.wav,DF0015_all4,降低音量
MDSC/ASR-TTS/all4/DF0015/0102-开启省电.wav,DF0015_all4,开启省电
MDSC/ASR-TTS/all4/DF0016/0020-你好小布.wav,DF0016_all4,你好小布
MDSC/ASR-TTS/all4/DF0016/0037-小德小德.wav,DF0016_all4,小德小德
MDSC/ASR-TTS/all4/DF0016/0063-拉开窗帘.wav,DF0016_all4,拉开窗帘
MDSC/ASR-TTS/all4/DF0016/0064-拉开窗帘.wav,DF0016_all4,拉开窗帘
MDSC/ASR-TTS/all4/DF0016/0069-全部打开.wav,DF0016_all4,全部打开
MDSC/ASR-TTS/all4/DM0005/0036-小德小德.wav,DM0005_all4,小德小德
MDSC/ASR-TTS/all4/DM0005/0052-打开空调.wav,DM0005_all4,打开空调
MDSC/ASR-TTS/all4/DM0005/0064-拉开窗帘.wav,DM0005_all4,拉开窗帘
MDSC/ASR-TTS/all4/DM0005/0070-全部打开.wav,DM0005_all4,全部打开
MDSC/ASR-TTS/all4/DM0005/0086-打开蓝牙.wav,DM0005_all4,打开蓝牙
MDSC/ASR-TTS/all4/DM0012/0061-关灯.wav,DM0012_all4,关灯
MDSC/ASR-TTS/all4/DM0012/0070-全部打开.wav,DM0012_all4,全部打开
MDSC/ASR-TTS/all4/DM0012/0071-全部打开.wav,DM0012_all4,全部打开
MDSC/ASR-TTS/all4/DM0012/0090-帮忙暂停.wav,DM0012_all4,帮忙暂停
MDSC/ASR-TTS/all4/DM0012/0402-后一.wav,DM0012_all4,后一
MDSC/ASR-TTS/all4/DM0019/0058-开灯.wav,DM0019_all4,开灯
MDSC/ASR-TTS/all4/DM0019/0067-关闭窗帘.wav,DM0019_all4,关闭窗帘
MDSC/ASR-TTS/all4/DM0019/0096-降低音量.wav,DM0019_all4,降低音量
MDSC/ASR-TTS/all4/DM0019/0098-降低音量.wav,DM0019_all4,降低音量
MDSC/ASR-TTS/all4/DM0019/0106-音量调大.wav,DM0019_all4,音量调大
MDSC/ASR-TTS/all6/DF0004/0080-播放上一首.wav,DF0004_all6,播放上一首
MDSC/ASR-TTS/all6/DF0004/0083-播放下一首.wav,DF0004_all6,播放下一首
MDSC/ASR-TTS/all6/DF0004/0095-打开后一集.wav,DF0004_all6,打开后一集
MDSC/ASR-TTS/all6/DF0004/0109-调到下一频道.wav,DF0004_all6,调到下一频道
MDSC/ASR-TTS/all6/DF0004/0322-一三幺九五二.wav,DF0004_all6,一三幺九五二
MDSC/ASR-TTS/all6/DF0015/0080-播放上一首.wav,DF0015_all6,播放上一首
MDSC/ASR-TTS/all6/DF0015/0093-打开后一集.wav,DF0015_all6,打开后一集
MDSC/ASR-TTS/all6/DF0015/0100-打开上一集.wav,DF0015_all6,打开上一集
MDSC/ASR-TTS/all6/DF0015/0319-零五九七幺八.wav,DF0015_all6,零五九七幺八
MDSC/ASR-TTS/all6/DF0015/0329-六八四三五七.wav,DF0015_all6,六八四三五七
MDSC/ASR-TTS/all6/DF0016/0081-播放下一首.wav,DF0016_all6,播放下一首
MDSC/ASR-TTS/all6/DF0016/0089-替我取消暂停.wav,DF0016_all6,替我取消暂停
MDSC/ASR-TTS/all6/DF0016/0094-打开后一集.wav,DF0016_all6,打开后一集
MDSC/ASR-TTS/all6/DF0016/0100-打开上一集.wav,DF0016_all6,打开上一集
MDSC/ASR-TTS/all6/DF0016/0108-调到下一频道.wav,DF0016_all6,调到下一频道
MDSC/ASR-TTS/all6/DM0005/0080-播放上一首.wav,DM0005_all6,播放上一首
MDSC/ASR-TTS/all6/DM0005/0083-播放下一首.wav,DM0005_all6,播放下一首
MDSC/ASR-TTS/all6/DM0005/0088-替我取消暂停.wav,DM0005_all6,替我取消暂停
MDSC/ASR-TTS/all6/DM0005/0095-打开后一集.wav,DM0005_all6,打开后一集
MDSC/ASR-TTS/all6/DM0005/0110-调到下一频道.wav,DM0005_all6,调到下一频道
MDSC/ASR-TTS/all6/DM0012/0078-播放上一首.wav,DM0012_all6,播放上一首
MDSC/ASR-TTS/all6/DM0012/0093-打开后一集.wav,DM0012_all6,打开后一集
MDSC/ASR-TTS/all6/DM0012/0095-打开后一集.wav,DM0012_all6,打开后一集
MDSC/ASR-TTS/all6/DM0012/0109-调到下一频道.wav,DM0012_all6,调到下一频道
MDSC/ASR-TTS/all6/DM0012/0110-调到下一频道.wav,DM0012_all6,调到下一频道
MDSC/ASR-TTS/all6/DM0019/0080-播放上一首.wav,DM0019_all6,播放上一首
MDSC/ASR-TTS/all6/DM0019/0083-播放下一首.wav,DM0019_all6,播放下一首
MDSC/ASR-TTS/all6/DM0019/0093-打开后一集.wav,DM0019_all6,打开后一集
MDSC/ASR-TTS/all6/DM0019/0316-六二零四五九.wav,DM0019_all6,六二零四五九
MDSC/ASR-TTS/all6/DM0019/0326-八六幺一三七.wav,DM0019_all6,八六幺一三七
MDSC/ASR-TTS/all9/DF0004/0273-帮我音量再小点.wav,DF0004_all9,帮我音量再小点
MDSC/ASR-TTS/all9/DF0004/0352-你好米雅风量小一点.wav,DF0004_all9,你好米雅风量小一点
MDSC/ASR-TTS/all9/DF0004/0356-你好米雅打开净化器.wav,DF0004_all9,你好米雅打开净化器
MDSC/ASR-TTS/all9/DF0004/0364-你好米雅标准模式.wav,DF0004_all9,你好米雅标准模式
MDSC/ASR-TTS/all9/DF0004/0378-你好米雅打开应响.wav,DF0004_all9,你好米雅打开应响
MDSC/ASR-TTS/all9/DF0015/0033-Hey Siri.wav,DF0015_all9,Hey Siri
MDSC/ASR-TTS/all9/DF0015/0128-变温温度设定负一度.wav,DF0015_all9,变温温度设定负一度
MDSC/ASR-TTS/all9/DF0015/0346-你好米雅调亮灯光.wav,DF0015_all9,你好米雅调亮灯光
